,value.Total.Energy.Emissions..CO2...Energy.,VALUE
value.Mules.and.Asses.Emissions..CO2eq..from.N2O..Manure.management.,0.290762181,FALSE
value.Goats.Indirect.emissions..N2O...Manure.applied.,0.294385558,FALSE
value.Mules.and.Asses.Emissions..N2O...Manure.on.pasture.,0.294671616,FALSE
value.Mules.and.Asses.Indirect.emissions..CO2eq...Manure.on.pasture.,0.295041647,FALSE
value.Mules.and.Asses.Indirect.emissions..N2O...Manure.on.pasture.,0.295124587,FALSE
value.Mules.and.Asses.Direct.emissions..N2O...Manure.on.pasture.,0.295174823,FALSE
value.Mules.and.Asses.Manure..N.content.that.leaches...Manure.on.pasture.,0.295174823,FALSE
value.Mules.and.Asses.Manure..N.content.that.volatilises...Manure.on.pasture.,0.295174823,FALSE
value.Mules.and.Asses.Manure..N.content...Manure.on.pasture.,0.295174823,FALSE
value.Mules.and.Asses.Emissions..CO2eq...Manure.on.pasture.,0.295440368,FALSE
value.Mules.and.Asses.Direct.emissions..CO2eq...Manure.on.pasture.,0.295691388,FALSE
value.Asses.Emissions..N2O...Manure.applied.,0.297228377,FALSE
value.Chickens..layers.Implied.emission.factor.for.CH4..Manure.management.,0.297734057,FALSE
value.Mules.and.Asses.Indirect.emissions..N2O.that.leaches...Manure.on.pasture.,0.299125713,FALSE
value.Goats.Direct.emissions..CO2eq...Manure.management.,0.299125713,FALSE
value.Goats.Emissions..CO2eq..from.N2O..Manure.management.,0.299930436,FALSE
value.Asses.Direct.emissions..N2O...Manure.applied.,0.300153458,FALSE
value.Mules.and.Asses.Emissions..CO2eq..from.CH4..Manure.management.,0.300748612,FALSE
value.Mules.and.Asses.Emissions..CH4...Manure.management.,0.300957224,FALSE
value.Mules.and.Asses.Indirect.emissions..N2O.that.volatilises...Manure.on.pasture.,0.301139048,FALSE
value.Turkeys.Indirect.emissions..N2O...Manure.on.pasture.,0.30240211,FALSE
value.Mules.and.Asses.Indirect.emissions..N2O...Manure.applied.,0.304307215,FALSE
value.Turkeys.Indirect.emissions..N2O.that.volatilises...Manure.on.pasture.,0.304472071,FALSE
value.Goats.Emissions..CH4...Enteric.,0.304472071,FALSE
value.Goats.Emissions..CO2eq...Enteric.,0.30569266,FALSE
value.Turkeys.Indirect.emissions..N2O.that.leaches...Manure.on.pasture.,0.306123496,FALSE
value.Asses.Direct.emissions..N2O...Manure.on.pasture.,0.306457224,FALSE
value.Asses.Emissions..N2O...Manure.on.pasture.,0.30710597,FALSE
value.Asses.Indirect.emissions..CO2eq...Manure.on.pasture.,0.307364743,FALSE
value.Asses.Direct.emissions..CO2eq...Manure.on.pasture.,0.307420347,FALSE
value.Asses.Manure..N.content.that.leaches...Manure.on.pasture.,0.307420347,FALSE
value.Asses.Manure..N.content.that.volatilises...Manure.on.pasture.,0.307420347,FALSE
value.Asses.Manure..N.content...Manure.on.pasture.,0.307420347,FALSE
value.Asses.Emissions..CO2eq...Manure.on.pasture.,0.307536135,FALSE
value.Chickens.Direct.emissions..N2O...Manure.on.pasture.,0.307578718,FALSE
value.Chickens.Emissions..N2O...Manure.on.pasture.,0.307632874,FALSE
value.Mules.and.Asses.Emissions..N2O...Manure.applied.,0.307786695,FALSE
value.Goats.Stocks,0.307795061,FALSE
value.Goats.Manure..N.content.that.leaches...Manure.on.pasture.,0.307795061,FALSE
value.Goats.Manure..N.content.that.volatilises...Manure.on.pasture.,0.307795061,FALSE
value.Goats.Manure..N.content...Manure.on.pasture.,0.307795061,FALSE
value.Goats.Direct.emissions..CO2eq...Manure.on.pasture.,0.307795061,FALSE
value.Goats.Indirect.emissions..CO2eq...Manure.on.pasture.,0.307795061,FALSE
value.Goats.Emissions..CO2eq...Manure.on.pasture.,0.307882987,FALSE
value.Chickens.Indirect.emissions..CO2eq...Manure.on.pasture.,0.307888517,FALSE
value.Chickens.Manure..N.content.that.leaches...Manure.on.pasture.,0.307888517,FALSE
value.Chickens.Manure..N.content.that.volatilises...Manure.on.pasture.,0.307888517,FALSE
value.Chickens.Manure..N.content...Manure.on.pasture.,0.307888517,FALSE
value.Chickens.Direct.emissions..CO2eq...Manure.on.pasture.,0.307888517,FALSE
value.Chickens.Emissions..CO2eq...Manure.on.pasture.,0.308041133,FALSE
value.Chickens.Indirect.emissions..N2O...Manure.on.pasture.,0.308089565,FALSE
value.Goats.Emissions..N2O...Manure.on.pasture.,0.308316951,FALSE
value.Goats.Direct.emissions..N2O...Manure.on.pasture.,0.308434611,FALSE
value.Goats.Indirect.emissions..N2O.that.leaches...Manure.on.pasture.,0.308496196,FALSE
value.Goats.Indirect.emissions..N2O...Manure.on.pasture.,0.30850437,FALSE
value.Chickens.Indirect.emissions..N2O.that.volatilises...Manure.on.pasture.,0.308588529,FALSE
value.Chickens.Indirect.emissions..N2O.that.leaches...Manure.on.pasture.,0.308807549,FALSE
value.Mules.and.Asses.Direct.emissions..N2O...Manure.applied.,0.308820331,FALSE
value.Goats.Indirect.emissions..N2O.that.volatilises...Manure.on.pasture.,0.309249418,FALSE
value.Asses.Indirect.emissions..N2O.that.leaches...Manure.on.pasture.,0.310032874,FALSE
